city,state,population,state_name,slug
Mission,TX,81050,Texas,mission-tx
Chino,CA,80988,California,chino-ca
Redwood City,CA,80872,California,redwood-city-ca
Edinburg,TX,80836,Texas,edinburg-tx
Cranston,RI,80566,Rhode Island,cranston-ri
Parma,OH,80429,Ohio,parma-oh
New Rochelle,NY,79446,New York,new-rochelle-ny
Lake Forest,CA,79312,California,lake-forest-ca
Napa,CA,79068,California,napa-ca
Hammond,IN,78967,Indiana,hammond-in
Fayetteville,AR,78960,Arkansas,fayetteville-ar
Bloomington,IL,78902,Illinois,bloomington-il
Avondale,AZ,78822,Arizona,avondale-az
Somerville,MA,78804,Massachusetts,somerville-ma
Palm Coast,FL,78740,Florida,palm-coast-fl
Bryan,TX,78709,Texas,bryan-tx
Gary,IN,78450,Indiana,gary-in
Largo,FL,78409,Florida,largo-fl
Brooklyn Park,MN,78373,Minnesota,brooklyn-park-mn
Tustin,CA,78327,California,tustin-ca
Racine,WI,78199,Wisconsin,racine-wi
Deerfield Beach,FL,78041,Florida,deerfield-beach-fl
Lynchburg,VA,78014,Virginia,lynchburg-va
Mountain View,CA,77846,California,mountain-view-ca
Medford,OR,77677,Oregon,medford-or
Lawrence,MA,77657,Massachusetts,lawrence-ma
Bellflower,CA,77593,California,bellflower-ca
Melbourne,FL,77508,Florida,melbourne-fl
St. Joseph,MO,77147,Missouri,st-joseph-mo
Camden,NJ,76903,New Jersey,camden-nj
St. George,UT,76817,Utah,st-george-ut
Kennewick,WA,76762,Washington,kennewick-wa
Baldwin Park,CA,76635,California,baldwin-park-ca
Chino Hills,CA,76572,California,chino-hills-ca
Alameda,CA,76419,California,alameda-ca
Albany,GA,76185,Georgia,albany-ga
Arlington Heights,IL,75994,Illinois,arlington-heights-il
Scranton,PA,75806,Pennsylvania,scranton-pa
Evanston,IL,75570,Illinois,evanston-il
Kalamazoo,MI,75548,Michigan,kalamazoo-mi
Baytown,TX,75418,Texas,baytown-tx
Upland,CA,75413,California,upland-ca
Springdale,AR,75229,Arkansas,springdale-ar
Bethlehem,PA,75018,Pennsylvania,bethlehem-pa
Schaumburg,IL,74907,Illinois,schaumburg-il
Mount Pleasant,SC,74885,South Carolina,mount-pleasant-sc
Auburn,WA,74860,Washington,auburn-wa
Decatur,IL,74710,Illinois,decatur-il
San Ramon,CA,74513,California,san-ramon-ca
Pleasanton,CA,74110,California,pleasanton-ca
Wyoming,MI,74100,Michigan,wyoming-mi
Lake Charles,LA,74024,Louisiana,lake-charles-la
Plymouth,MN,73987,Minnesota,plymouth-mn
Bolingbrook,IL,73936,Illinois,bolingbrook-il
Pharr,TX,73790,Texas,pharr-tx
Appleton,WI,73596,Wisconsin,appleton-wi
Gastonia,NC,73209,North Carolina,gastonia-nc
Folsom,CA,73098,California,folsom-ca
Southfield,MI,73006,Michigan,southfield-mi
Rochester Hills,MI,72952,Michigan,rochester-hills-mi
New Britain,CT,72939,Connecticut,new-britain-ct
Goodyear,AZ,72864,Arizona,goodyear-az
Canton,OH,72535,Ohio,canton-oh
Warner Robins,GA,72531,Georgia,warner-robins-ga
Union City,CA,72528,California,union-city-ca
Perris,CA,72326,California,perris-ca
Manteca,CA,71948,California,manteca-ca
Iowa City,IA,71591,Iowa,iowa-city-ia
Jonesboro,AR,71551,Arkansas,jonesboro-ar
Wilmington,DE,71525,Delaware,wilmington-de
Lynwood,CA,71371,California,lynwood-ca
Loveland,CO,71334,Colorado,loveland-co
Pawtucket,RI,71172,Rhode Island,pawtucket-ri
Boynton Beach,FL,71097,Florida,boynton-beach-fl
Waukesha,WI,71016,Wisconsin,waukesha-wi
Gulfport,MS,71012,Mississippi,gulfport-ms
Apple Valley,CA,70924,California,apple-valley-ca
Passaic,NJ,70868,New Jersey,passaic-nj
Rapid City,SD,70812,South Dakota,rapid-city-sd
Layton,UT,70790,Utah,layton-ut
Lafayette,IN,70373,Indiana,lafayette-in
Turlock,CA,70365,California,turlock-ca
Muncie,IN,70316,Indiana,muncie-in
Temple,TX,70190,Texas,temple-tx
Missouri City,TX,70185,Texas,missouri-city-tx
Redlands,CA,69999,California,redlands-ca
Santa Fe,NM,69976,New Mexico,santa-fe-nm
Lauderhill,FL,69813,Florida,lauderhill-fl
Milpitas,CA,69783,California,milpitas-ca
Palatine,IL,69350,Illinois,palatine-il
Missoula,MT,69122,Montana,missoula-mt
Rock Hill,SC,69103,South Carolina,rock-hill-sc
Jacksonville,NC,69079,North Carolina,jacksonville-nc
Franklin,TN,68886,Tennessee,franklin-tn
Flagstaff,AZ,68667,Arizona,flagstaff-az
Flower Mound,TX,68609,Texas,flower-mound-tx
Weston,FL,68388,Florida,weston-fl
Waterloo,IA,68366,Iowa,waterloo-ia
Union City,NJ,68247,New Jersey,union-city-nj
Mount Vernon,NY,68224,New York,mount-vernon-ny
Fort Myers,FL,68190,Florida,fort-myers-fl
Dothan,AL,68001,Alabama,dothan-al
Rancho Cordova,CA,67911,California,rancho-cordova-ca
Redondo Beach,CA,67815,California,redondo-beach-ca
